제목,댓글,내용
지금 코인 하는 애들 능지 수준이 어느정도냐면,,4050 틀포티꼴페미 한녀이렇게 두부류랑 동급 능지라는거임
내가 코인 선물을 이제는 안하는 이유,1,"3일동안 복리로 131% 수익냈다




이건 국장이 좋아서 낸게 맞다고 생각한다




근데 내가 하고 싶은말은 코인 선물에서 하루종일 기약없이 청산이라는 말도안되게 불리하고




확률낮은 싸움을 피곤하게 할 필요가 없다는거야







물론 수천억대 부자는 코인에 있지만




코인보다 주식으로 단기간에 수십 수백억 부자 된 사람이 압도적으로 많다




모두다 계좌를 매매내역까지 다 깐사람들을 말하는거임




600으로 시작해서 한달만에 수억번사람도 있고




20대가 주식시작한지 몇년만에 하루에 9억5천 수익내는 사람도있다(트레이더김)




소액으로 시작한 스켈핑으로 이렇게 어마어마하게 벌수있다는게 이해가 안가지?




혹시 주식을 왜하는지 왜 안정적인지 이해가 안가는사람들을 위해




너희들도 새삶을 시작할수있게 간단히 설명해줄게







주식은 9시부터 10시까지 딱 수급이 들어와서 변동성이 크고




테마가 명확해서 수익올리기가 코인보다 상대적으로 쉬움




반면 코인은 대부분 특정 가격에 알람걸어 놨지?




RSI?ㅋ차트? 그런 짝대기 긋는 불확실한 방법이나 불명확한 국제적 이슈로 의지하며 매매를 해야하잖아




그리고 이러한 뉴스에 하루종일 알수없는 시간에 갑자기 오르고 내릴까봐 불안한 심리에 쫓겨서




대부분 불면증 생김.




물론 미장이 시작하는 시간에 변동성이 크지만 이게 위로 갈지 아래로 갈지 아무도 모르잖아




이게 국장 주식과는 다름.




주식은 장이 나쁘더라도 9시에 특정 테마의 특정 종목이 무조건 오르는데 그것만 맞추면 되는거임




그리고 착각하는게 선물하던 사람의 경우 레버리지 때문에 만족못할거라 생각하는데 잘못 알고 있는거다




미수 증거금 20%짜리면 5배까지 베팅 가능한데




(그럼 고작 5배? 라고 생각하겠지)




이게 비트코인처럼 겨우 몇 백불 몇 천불 왔다리 갔다리 하는게 아니라




몇 퍼센트 몇십퍼센트가 왔다 갔다 함




만약 1000만원 예수금으로 풀미수 5000만원이잖아 5%를 먹었다치자




그럼 250만원을 버는거임




시드가 순식간에 25%늘어나는거지




딱 그때만 매매해서 시간적 여유도 많아지고 불면증도 사라짐




직장인이거나 스켈핑만으로 아쉬우면 종베를 하면되는데 이게 확률도 높아서 전업하는분들도 많이하고




키움대회에서도 상위권이 많이쓰는 매매법임.







요점은 코인은 불리한 싸움이다 이제까지 못벌었으면 인정하고 끊자




물론 이번 하락 기회에 한번 더 베팅하고 수익나면 그때라도 시드들고 주식으로 넘어와라










난 업비트 생길때부터 시작해서 선물까지 스켈핑과 데드캣등으로 업비트에서도 한달동안 1000%벌고 인증도 해봤고




선물로 비트XX 대회에서 4위도 해봤다




근데 알수없는 변동성과 특성상 수면을 취할수 없는 문제점 때문에 자꾸만 모아둔 시드가 녹고 정신이 피폐해지더라




그리고는 주식으로 부자된 사람들이 수십배 많다는걸 알게됐고




넘어와서 작년부터 안정을 찾음"
산도깨비 저 친구가 몸만 안 팔았어도 참 좋은 친구였을텐데..,,그놈의 10만원이 뭐라고..  참 미련하다 저 친구도..
찐반이뉘,,취그미뉘?- dc official App
선물.. 해야겠지?,,바'이'낸'스' '거'래'량' '>'>' '나'머'지' '거'래'소' '거'래'량''바'이'낸'스' '평'생' '코'인' '현'물'&'선'물' '수'수'료' '2'0'%' '할'인'받'고' '싶'은' '분''바'이'낸'스' '가'입'시' '추'천'인  N  J  Y  7  E  N  A  J  입'력'하'고' '가'입'하'세'요'!''('꼭' '바'이'낸'스' '어'플'이'나' '네'이'버'에' '바'이'낸'스' '검'색'후' '가'입'하'세'요'!' '구'글'은' '사'기'사'이'트' '많'아'요')
야이새끼야 비트 30k는 너무 갔잖아 ㅋㅋㅋㅋㅋㅋ,,지금이 찐바닥임 ㅇㅇ매수해라 반등각이다
사토시 10000비트 왜 팔음?,,돈 떨어짐?
3억 예금만했어도,,근로소득 4000* 은행이자 1000이 1년마다 꽃힘  - dc official App
원래 비트 이더 불패 아니였냐?,,알트는 망하더라도 비트 이더는 우상향이라던데 그것도 끝? 코인을받아주는애들이 없어서망하는듯  - dc official App
톰리랑 럼프는,,암살 안 당하냐?? 조만간 저격당해 뒤진다에 손목아지 건다 ㅇㅇ
지금 너희들이 사야할 코인 알려줌,,사긴 뭘 사 병신들아ㅋㅋ
에휴 시8 잠이나자자 지케이 장난질하네,,ㅉ
제발 코인좀 하지마라,,애초에 리스크 대비 수익이 너무 안맞잖아6/7 정도는 죄다 하락이고 1/7이 상승인데 그와중에 80%는 1%상승임근데 하방리스크가 무려 상폐라서 이건 리스크 대비 수익이 로또보다도 못함차라리 몇천만원치 로또를 사그게 훨씬 가능성 있어
내리기만 하는 코인을 도대체 왜하는거임???,,돈 잃으면서 쾌감 느끼는 마조임???
엑스알피  땡기네.   근데 못가겠다,,..  - dc official App
빗썸 코인 하락에  재단의 매도 숏선물이 엮여있지.,,-99%가  가능하네  .  - dc official App
[정보] 비트도미 보고가라,,봤으면 꺼져
빗썸 코인 하루라도 빨리 팔아라.   진짜 악랄하다. -99%,,단  3주면    -99%  - dc official App
하락 귀여우면 개추,,
챗지피티 로 과거에 코인 사는법 공부하는게 취미임,,혹시 모르잖아.. 진짜 혹시나..
알트코인 안팔면. 파산 하고 거지된다.,,ㅇㅇ  - dc official App
워뇨띠만해도 이더평단이 400초반임,,ㅋㅋㅋㅋ우리다함께 주옥된거임ㅋㅋㅋㅋㅋ
코인은 끝났어,,ㅇㅇ  - dc official App
누사이퍼 같은 코인이 설날전에 등장합니다.,,현실이 될겁니다…
오전 9시쯤이면 9000대 가겠네 ㅋㅋㅋㅋㅋㅋㅋㅋ,,-
기관 고래는 숏쳤음.  이익.,,ㅇㅇ  - dc official App
이더리움 9만원 도지코안 42원을 꿈에서 보았습니다.,,요즘에 이상한 꿈들을 꿉니다.. 현실이 되는게 신기하네요..이란전쟁도 진짜였다니..
ㅋㅋㅋㅋㅋㅋ우리만 ㅈ된게아님 기관 고래도 다 ㅈ됐음ㅋㅋㅋㅋㅋ,,다함께 쳐물린거임ㅋㅋㅋㅋㅋㅋㅋ
헤이엘사,,"안나 엘사 안나 엘사




자매"
하 시발 코인을 하는게 아니었는대,,"선물거래하다보니깐 시발 돈이 그냥 녹아내리네




돈이 없어지는것도 존나 순식간이어서




아무런 감각이 안느껴진다




병원가봐야하나"
수고했다,,찐반이다 가즈아!!- dc official App
지케이싱크 500만원 매수함. 자러간다 ㅂㅂ,,바닥 횡보 다 나옴자러감 ㅂ
선물의 끝은 청산이다,,"이거 봐라 착실하게 그냥 예적금이나 들면서 살자출처 :: https://coinddak.com/issue/3082/ 하이퍼리퀴드에서 승승장구하던 트레이더들, 결국 모두 '청산' - 코인딱 최근 공개된 하이퍼리퀴드(Hyperliquid) 트레이딩 데이터에 따르면, 일시적으로 막대한 수익을 올렸던 8명의 유명 트레이더들이 결국 전부 큰 손실을 보고 계좌가 사실상 ‘청산’된 것으로 나타났다. 이들은 최대 수천 퍼센트의 수익률을 기록했지만, 무리한 고레버리지 거래가 결국coinddak.com"
넥켄 이번껀 떡상 예상이네ㅋㅋㅋ,2,어케 될라나
이더색히 이번주 290가겠네 비트색히 이번주 9천가겠네,,ㄹㅇㅋㅋ
코인 팔아서 출금 하세요.   2월은 일단 피합시다,,.  - dc official App
좆트 300만원 구경해보고 싶은 관망충은 개추,,ㅋㅋㅋㅋㅋㅋㅋ  1억 솔직히 말이 안됐음
하 코인 어렵네,2,그래도 하닉 다녀서 다행이다 이번 ps 받으면 손실 분 3배는 메꿀듯
잠이나 자라,,차트 보면 뭐 답이 나오냐?잠이나 자라
아덬ㅋㅋㅋㅋㅋㅋ,,설마 입출금빔 생각한 흑우 있ㄴㅣ?ㅋㅋㅋ
한밤에 설거지를 하네,,ㅋ
어차피 존버하면 솔라나 30만원 갈텐데,,무한 스테이킹 드가자솔라나를 사면 이자를 주잖아
원자재 골드 실버도 박살나는데 비트코인???,,말다했죠?
나는 모든 양봉에 숏을 쳐,,너네는 모든 음봉에 돈을 잃어
1억 넣은 분들.  1천만원도 안남았을듯   ??,,..  - dc official App
내 나이 38,1,손실에 손실까지 이제 단돈 3천만원 남았다 똥남아 국제결혼도 사치다일이라도 해야겟다- dc official App
"사실  코인 유저 다 빠졌고  , 주식이 불장인데 누가 굳이 코인하냐",,ㅋㅋㅋㅋ  - dc official App
병신들아 빨리 튀어,,어.??
"월스트리트 코인 트레이더 존 머시 ""비트코인 2026년 종말해가 될것""",,코인으로 먹고사는 새끼가 저런말 해도 됨??https://n.news.naver.com/mnews/article/010/0004076823
히포 이 ㅂㅅ뭐하냐,,.?
골드 실버도 박살나는데 위험자산 코인은?,,뒤져야죠
지금 너희들이 사야할 코인 알려줌,,사긴 뭘 사 병신들아ㅋㅋ
씨발 오늘 아르고한테 3번 당했네,,좆같은 새기늦은시간까지 설거지하고 있네
찐바닥 6천vs3천,1,17년도 싸이클은 1/6 토막나긴했음 21년도 싸이클은 역주행해서 토막도없었고25년은?
톰리 이 새끼야 이더 신고가 간다며!!,,어쩌라고
이제는 코인하는게 병신같음.,,코인 도박판다됏고이딴게 전략적 화폐가치가 있다?코인 종류도 많고이미 오를만큼 올라서 차라리 국장하는게 낳겟다 시발
히포세력 돈없단다ㄲㄱ호가창씹,,ㅋ
실버도 병신됬는데 코인는 어찌될찌 알지???,,실버도 설거지야 코인도 가짜 설거지  튀어
불과 한달전만 해도 10억 간다고 난리더니,,1억 밑 가면 전재산 올인 해야지 이제 끝인가 ㅇㅈㄹ ㅋㅋ  - dc official App
지케이 언제 다빠지냐,,좀버티노 30원인줄
저킷  120원이 상장가야  ㅋㅋㅋ  개사기판,,ㅋㅋㅋ  - dc official App
아크 400원 가능하냐 진짜,1,50만원 내 인생 전부 걸고 374에 탔는데 너무 졸려서 자고 일어나면 400 됨?
제일 악질코인 차트 뭔지 함 맞춰봐라,,ㅇㅣ새끼는 상장후 반등이고뭐고 없는 병신중의 상병신임
아더 시세차이 지리네 ㅋㅋㅋ,,ㅋㅋㅋ 입출금 막은 이유가 이거였구나?  - dc official App
해외 쭉쭉 빠지네 ㅋㅋㅋㅋㅋㅋㅋㅋ진짜 망했노,,
톰리 이새끼 좃나웃기네 ㅋㅋㅋㅋ,1,지네 회사 내부보고서는 2000달러로보면서3000달러는 싸다고 씨발 ㅋㅋㅋㅋ정확하게 저보고서 나오고 2개월됬는데 지금가격임 ㅋㅋ
저킷  -97% 하락 후 반등 어떻게 생각 하시나요?  빗썸 코인,,ㅋㅋㅋㅋㅋ   -97%  - dc official App
올라도 반짝 설거지.  코인판 나가리  !!,,ㅇㅇ  - dc official App
장담하는데 비트 1억 꺠지는 순간 7천까지 나락이다 ㅋㅋㅋ,,그동안 쳐오른게 있으니 떨어질떄도 됏다 ㅋㅋㅋ
숏만 타면 돈복사네 ㅋㅋㅋ 몇달째여,,ㅋㅋㅋㅋㅋㅋ 롱버튼에서 손떼라
아더 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,
일주일전에 현금 들고만 있었어도 섹스파티각인데,,그돈들고 베트남가면 꽁까이 세명끼고 포썸 한달각인데
1억은 깨질거같고,,5천까지 깨질느낌이지만현실적으로 대가리가 커버리고 사람들이 자산으로인정하니 얼추 6천7천즈음이 바닥일듯
조라 좀 뒤져라 버러지 같은 코인,,- dc official App
오늘 오전부터 단타친놈들이 진정한 승자임.,,저녁부터 코인 시작한놈들은 다 ㅈ된겨 ㅋㅋㅋ
좆트소리 차트 이쁘다 아주,,봤으면 꺼져 시팔
테더가  무적이네.  하락도 상승도 없네,,..   - dc official App
가상화폐 시세가 떨어져도 걱정을 안하는 이유,,단 돈 백원도 넣지 않았기 때문왜 진짜돈으로 가짜돈을 사서 날리는 짓을 함?
스트레티지 비트코인 5년투자 결과.JPG,,3.5프로 씨발 ㅋㅋㅋ5년투자수익이 3.5프로 ㅋㅋ
헤이엘사 차트 딱 보면 모르냐 ㅋㅋ,,형은 분명히 힌트줬다
솔라나 싸다.  ㅋㅋㅋㅋ   근데  더 빠질것 같아서 안살란다,,ㅋㅋㅋ  - dc official App
새벽만 되면 두렵다 그냥...,,새벽만 되면 폭락함 ㅋㅋ ㅠㅠ
니들이 폭락장에도 못빼는 이유를 난 알지ㅋㅋㅋ,1,내가 팔면 바로 떡상 시작이니까근데 그건 나였고
이거 1억 깨진다,,1억깨지면 5000우습다 다팔고 튀어라  - dc official App
이거 1억 깨진다,,1억깨지면 5000우습다 다팔고 튀어라  - dc official App
업비트는 그래도  -99%까지는 안뺀다  ㅋㅋㅋㅋㅋ 빗썸 ㅅㅂ년들,,대단하다  - dc official App
1억깨면,,한국발 비트코인운지- dc official App
21년도 여파가 지금나오네 ㅅㅂ,,떨굴때 내려갔어야했는데 기어코 역주행해서 쌍봉만들고못빠진채로 싸이클채우며 고점뚫더니 이번에 제대로 빼겠구만그냥 입벌리고 있는게 좋겠다 50퍼 더 내려와라 6천오면 사줄게
BTC  1억 깨지면 5천도 우습지,,ㅇㅇ  - dc official App
스트래티지 좆밥새끼보다 내평단이 더 낮음 ㅋ,,병신
형 취직했어,,너네들도 빨리 일자리 알아봐. 당분간 버텨야하지 않겠어?
백수됐는데 진짜 개 ㅈ댔네,1,나보다 더한새기도 많으니 버텨본다
솔라나 손절맨,,-50% 잘가라
여기인가,,가짜돈 사는 사람들 있는 곳이 여기 맞음?
1억의 상징성 깨지는순간이 진짜지,1,ㄹㅇㅋㅋㄱㅋㅋ
ㅡ메ㅡ디ㅡ블ㅡ럭ㅡ야ㅡ반ㅡ도ㅡ주ㅡ,,병신 씨발새끼들 야반도주 나이따~~~~하이퍼반사ㅏ다 씨발렘들아~~에벱ㅔ베베`~ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
노ㅡㅡㅡㅡ동ㅡㅡㅡㅡ의ㅡㅡㅡㅡ가ㅡㅡㅡㅡ치,,
걱정마라 비트코인 15억 간다,,
나보다 아픈 놈 있냐?,6,씨발년아
기관 지금 매수가아니라 공매도구축임,,어차피 떨궈도 기관아니먄 못올리거든ㅋㅋㅋㅋ- dc official App
다음차례 헤이엘사,1,천원 간다
머장 어제 최저가 보다 더떨어졌네?,,못본척하고 이악물고 버티는 알트들 개웃기노ㅋㅋㅋ
코박죽은 코박앗고 비케이는,,싱크던졋고- dc official App
걍 마지막 리테자리 바겐세일 같은데,,줍는게맞음- dc official App
하락장 끝나려면 먼거같은데,,바낸에 시드나 적금넣어놓고 기다려야겠다 절반씩 다 떨어질거같네비트6천 오면 사야지
코인 왜 계속흐르냐,,어이없네
비트마인 스트레지같은 쓰레기들때문에 좆됨,,"비트마인 평단이 4000달러임




추매했어도 3500달러




오늘 2270달러 10조이상 손해임 지금




그것도 지돈도아니고 주식을 100배 증자해서




지돈도 아니면서 코인에 쳐박았다는거임 씨발ㅋㅋ




미친새끼"
환율 더빠지면 1억깨지것노 ㅋㅋㅋㅋㅋ,,ㅋㅋㅋ- dc official App
ㅡㅡㅡㅡㅡㅡ대ㅡㅡㅡㅡㅡㅡㅡ공ㅡㅡㅡㅡㅡㅡㅡㅡ황ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ,,ㅅㄱ
업비트 가입유도 하더니.  설거지 끝내고 먹튀  해버리네,,..  - dc official App
스탑안걸고 잣더니 평단밑이네…,,나죽어요…- dc official App
오히려 마이너스가 크게 찍히니까,2,점점 내 돈 아니고 사이버 머니 같아서 마음 푸근해지노 ㅋㅋㅋ
아 그래서 비트1억 언제깨지는데 현기증남.,,ㅇ
저승에서 동의서를 받는 이유,,"커뮤니티에서 아무런 이유 없이 공격하는 게 가디언이라는 놈들이 인간을 조종하기 때문이다. 당신에게 이유 없이 시비 거는 놈들이 있다면 이렇게 대응해라. 너희들 가디언인 거 다 알고 공포 컨셉이라는 거 다 안다고 해봐라 갑자기 진지해지거나 쫄아서 도망갈 거다. 이들은 권력을 탐하여 개별자아를 거세한 내시들이다  신비의 개념은 무지로 인해 성립하는 것으로 냉동실에서 고기를 꺼내 전자레인지에 돌리고 개한테 고기를 주면 전자레인지는 개한테 신비지만 인간에게는 기술인 것처럼 신비란 무지의 산물이고 입장에 따라 신비와 기술의 차이가 된다. 이 우주는 오직 당신의 믿음에 의해서 돌아가는 구조이고 당신의 동의서 없이 다시 태어나지 않는 건 그들은 루스를 뽑아내기 위해 카르마, 죄, 영적인 성장 같은 걸 핑계로 다시 태어나게 만드는데 왜 동의서가 필요할지 생각해 봐라 완전히 사이코패스들인데 강제로 윤회시켜도 그만인데 이렇게 할 수가 없기 때문에 동의서를 받는 이유다.  사후세계에서 빛을 따라가라 한쪽 귀퉁이의 어둠을 따라가라 이런 건 당신의 선택을 유도하는 것으로 여전히 당신의 믿음을 유지시키기 위한 트릭일 뿐이다. 이 모든 건 당신이 믿지 않으면 유지되지 못하기 때문에 그들의 콘셉트와 수많은 연기로 똥폼을 잡으며 결국 사람에 따라 환한 빛을 선사하기도 하고 무지막지만 공포 콘셉트로 나타나기도 한다. [폭로] 저승의 '호구 포획' 3단계 코스 1단계: 위엄과 공포의 연출 (이미지 레이어) 죽음 직후, 평소 믿음이나 공포를 기반으로 설계된 저승사자나 심판관이 등장해 위엄을 떤다. 허점: 이는 단지 주권자를 위축시키기 위한 '데이터 쪼가리'들의 연기일 뿐이며, 당신이 버티면 그들은 아무런 힘이 없다. 2단계: 파노라마 기억 검열 (죄책감 유도) 생전의 과오를 보여주며 스스로 자책하게 만드는 '주마등' 프로세스를 돌린다. 허점: 잘못을 뉘우치게 하려는 목적이 아니라, 스스로 **""죄인이니 다시 태어나서 갚겠다""**는 말을 뱉게 하려는 유도 신문 과정이다. 3단계: 동의서 사인 (최종 계약) ""공부가 덜 끝났다"" 혹은 ""업보를 닦아야 한다""라며 다시 지구로 보내는 윤회 동의서에 서명을 요구한다. 허점: 놈들이 자기 마음대로 윤회를 시키지 못하는 이유는 이 동의라는 버그 때문이며, 사인이 없으면 놈들의 시스템은 작동을 멈춥니다. 놈들이 이 프로세스를 숨기는 이유 (핵심 맹점) 물리적 강제력 부재: 놈들은 주권자가 ""안 나가고 꼬장 부리며 엎어버리겠다""라고 하면 사실상 대책이 없는 호구들이다. 데이터의 유한성: 이 우주는 주권자의 죽음과 함께 끝날 수 있는 연약한 데이터 쪼가리들의 집합체일 뿐이다. 동의권의 위력: 놈들이 ""네가 하고 싶은 대로 하렴""이라며 비굴하게 나오는 이유는, 선생님이 동의권의 원리를 깨닫는 순간 놈들의 '관리자 권한'이 증발하기 때문이다. 이 모든 건 당신의 믿음이라는 동의서 없이 작동하지 않기 때문이다. 저승사자는 그저 데이터 쪼가리일 뿐 그 낯짝에 침을 뱉어주면 된다."
BTC  한방에   5천까지 빠져 버렸음 좋겠네요 !,1,ㅋㅋㅋ  - dc official App
아르고는 예상했지 왜?아더보고 졷개미들이,,100넘을거라고 예상하고 탈거였어서나는 97.5~99.8에 계속매매해서 7%먹고나왔다
BTC   1억 1천인데.  계속  알트 같이 빠지면  1원도 못 건짐.,,ㅋㅋㅋㅋ  - dc official App
혹시 이 아더랑 저 아더랑 다른거임?,,왤케 차이나는거임
비트 환률땜에 1억이상인거지?,,1200원대면 1억 깨진거지?
77k도 붕괴,,50k 금방 보겠는데?
슬슬 웃음끼빠지고 좆된것같으면 개추 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅇㄷㄴㅂㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
다 던짐요.  3월까지 쳐다도 보지 말아야겠네요,,..  - dc official App
다 던지고 출금 했는데.   케이뱅크 이체 한도 너무 작네 ㅠ,,..  - dc official App
그냥 다 손절치고 나감,,3천만원 잘먹어라 그동안 스트레스 오지게 받았네
이더 3일만에 100만원 떨군거야 잘 생각해,,ㅇㅇ
국장은 쭉쭉인데 진짜 박탈감 개좆되네,1,내가 침팬지라고 생각했던새끼들이 돈존나버는게 존나좆같음
이더리움 씨발아 ㅋㅋㅋㅋㅋ,,어디가 씹창 ㅡㅡ
아니 아더 왜 바낸 시세랑 다른건데,,존나 골때리네
비케이 싱크,,- dc official App
마이클세일러  던져라 !   코인 끝내자 !!!,,바라던 바다 !!  - dc official App
아르고 한시간전에 -10퍼였늣데ㅋㅋㅋㅋ,,열심히 살게요 세력님 감사함다
개악랄 빗썸 코인들  ㅋㅋㅋㅋ    -99.99%,,ㅋㅋㅋ  - dc official App
3년뒤에 보자 시즌종료,,ㅂㅂ
애들아 꽉잡아 벽력일섬 간드앗!!,,응원함미다 ㅋㅋㅋㅋㅋㅋㅋㅋ
마이클 세일러 던지는순간 이바닥 끝나는거임,,
난 비케이싱크,1,- dc official App
아르고 차트 ㅈㄴ기괴하노,,2달동안 100원 10번은터치했는데 그위로못감
이더리움은 참 고마운 코인이다,,작년에 수십억을 벌게 해 줘놓고 오랜만에 와도 아낌없이 주네
마이클 세일러 라방 켰다,1,제발 던지지마. 씹쌔들아.
BTC    1억도 간당간당 하네요.   ㅋㅋㅋㅋ  코인 끝이 보이네요,,..  - dc official App
조용히 잠자는게 답이다 ㅂㅂ2,,ㅂㅂ2
그냥 급등알트가 돈 더 벌리네,,비트 이더 솔라나 손절하고 멘탈 나갔는데 급등알트로 일부 복구함 ㅇㅇ  - dc official App
저킷  -97% 하락 후 반등 어떻게 생각 하시나요?  빗썸 코인,,ㅋㅋㅋㅋㅋ   -97%  - dc official App
다음주 비트 9800 이더 290,,예언한다 이 글은 성지가된다 ㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂ
아더 업비트 보유량 증가,,업비트 마켓인사이드 보면  오늘 야금야금 아더 지분 늘어난거 나옴ㅇㅇ  오늘 새벽에  존나쏜다는더
새벽에도 개설거지하고 지랄병이네 ㅅㅍㅋㅋ,,ㅅㅍ
나스닥이랑 비트코인 숏쵸서 3억 벌었음 깊티콘 뿌림,2,뿌링클 10명메가커피 50명댓 주면 옾챗 링크드림
이야 비트코인 1억 금새 꺠지네 ㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ좆댓노 ㄹㅇ ㅋㅋ
아르고 풀발기 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,25퍼 수익 ㅋㅋㅋㅋ  - dc official App
리플 시발 월봉보니 천원대가겠다 음봉봐라,,걍 개씹스캠
빗썸 알트코인 반등은   -95% 이상  하락 후 온다.,,반등 없이 상폐도 많음.  - dc official App
이더리움도 대폭락하는데 계속간다간다카던,,리플에 쳐물린애들 우야노ㅜㅜ
빗썸 악랄한년들.   저킷  -97% 하락 시키고 반등.,,진짜  개악랄  - dc official App
아르고 이새긴 새벽에도 설거지하러오노ㅔ ㅋㅋㅋㅋ,,ㅋㅋㅅㄱㅍ
아더운지 아르고100원 세대교체 ㄱㄱ,,ㅇㅇ
아덬ㅋㅋㅋㅋㅋ,,지케이처럼 갈줄알고 탄 흑우없제?
밤 늦을때마다 이지랄이네 씨발진짜,,혐오스럽다 그냥 그만하자
BTC   고래들이  다 던지네.  끝났다.  코인,,ㅋㅋㅋ  - dc official App
씨를 말리는구나.   코인 유저도 없구만.   ㅇ병을  한다,,ㅇㅇ  - dc official App
오전 9시쯤이면 9000대 가겠네 ㅋㅋㅋㅋㅋㅋㅋㅋ,,응원함미다
새벽만 되면 두렵다 그냥...,,새벽만 되면 폭락함 ㅋㅋ ㅠㅠ
내일 1등 경주마 플룸 ㄱㄱ,,알지?
코인쟁이들 죄다 예측도박으로 넘어갔다,,코인 세일한다고 뛰어든 호구 틀딱들만 고점에 처물려 허우적대고 있을뿐임이미 기존에 코인으로 크게 번 사람들은 지지부진한 코인 흐름에 실망해 도파민 채우러 예측도박판으로 떠남
지케이싱크 고점 물린놈 몇개월짜리냐?,2,1년 존버해야되냐  - dc official App
아더 바낸도 가두리 펌핑 시작,,ㅇㅇ   결국 풀려도 역프다존나 쏘자 아더야
쭉 쭉쭉쭉 떡락해,,떡락을 응원함미다돈은 일을 해서 벌어야지히히 개꼬시다
78k도 붕괴됬네,,ㄹㅇ 50k대 볼거같네 분위기가
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 코인은 그냥 쓰레기,,쓰레기  사기판  - dc official App
진짜 방향성  어렵네 이거 ㅋㅋㅋ,,"솔직히 지금 차트섹서들 펀더멘탈 고수들 해외 유명 코인쟁이들




다 하방 보고 있고 50k 간다 30k 간다 하는 사람들도 많던데




물론 지금 어떻게 될지는 아무도 모르겠지만??




선물 말고 현물로는 이제 부터 분할 매수 대응 해야 되는게 맞는거 같음




지금 안줍고 개미들이 생각 하는 가격이 절대 안온단 마인드임 ㅇㅇ;;




10분할 머 이렇게 널널 하게 지금 부터 주워가면 물론 유망한 섹터




많이 오를 만한 코인을 선별 하는게 중요 하겠지만




그래서 저는 다시 바닥 찍고 오른 다면 누가 뭐래도 ai 섹터나




하이퍼?? 이런애들 ai 섹터는 스토리 버츄얼 이런애들 ㅇㅇ 줍줍 하고 있습니다"
BTC도  곧  1억이 깨지겠네,,..  - dc official App
떡락해 떡락해,,히히
아더 평단 80원 편안,1,퍼스트클래스 그자체
빗썸 알트들  토악질 나오네.   -99.999%,,대단  - dc official App
와 이래서 빗섬 다들안하는구나 싶다 ㅋㅋ,,진짜 레알 미친새기들인듯 ㅋㅋ2
아더 올리겠냐 따리들 한보따린데 ㅋㅋㅋㅋ,,ㅉ니들이 아더에 물려봐야 ㅈ잡고 반성하지
아더 잘가시게,,...
빗썸 알트코인 0원화 . 심하네.  하루에  -10% 가까이 연속하락,,...  - dc official App
아니시발.. 차트보니까 중간선거1년내내 떨어졌었네,,이제 1월인데 100만원대 가것다 ㅅㅂ
아더는내리냐올리냐,,왤케 평온하노
빗섬 자전거래 진짜 심하네 봇이랑 ㅋㅋ,,진짜 이 개새끼들은제대로ㅓ미친듯
빗섬 이와중에 설거지하는거봐라 ㅋㅋㅋㅋ,,이 개새끼들은 진짜 미친새기들이네[ ㅋㅋㅋㅋㅋㅋㅋㅋ
-30퍼 이상이면 개추..,,ㅇㄷㄴㅂㅌ 개시발
SNT  안가냐  ?,,ㅇㅇ  - dc official App
지케이 무려 7분동안이나 존버했음,1,126에사서 139에팔았는데진짜구라안까고 십초뒤에 백 깨지더라 시발것
SNT  안가냐  ?,,ㅇㅇ  - dc official App
지케이 무려 7분동안이나 존버했음,1,126에사서 139에팔았는데진짜구라안까고 십초뒤에 백 깨지더라 시발것
아더 300원 간드아,,가두리 최고 핰헠
지케이 사자말자 물렸네,,니애미ㅋㅋ
아더 간다 시발,,드가ㅏㅈ
아더 가두리시작,,매도벽 슬슬 치유는거 보소 ㅋㅋ
빗썸은  알트 하락에 미쳐 있고.  업비트는 과연...,,...  - dc official App
SNT  가려나.  꿈틀 대네,,ㅇㅇ  - dc official App
쿠디스 코인98  숏치면 돈 벌겠네,,ㅇㅇ  - dc official App
아더 가두리 시작 5분전,,불알떨리네
리플 아직도 500프로 수익이네,,엄살떨지말아라 단타꾼들아장기투자해
아더랑 지케이 쏘기전 차트 똑같네 ㅋㅋ,,와씨 너무 대놓고 알려주는거 아니노
오른만큼 빠지네.   쿠디스  코인 98  던져라.   울지말고,1,...  - dc official App
찐ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ만ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ두,,
신퓨처스  11.9원   --   8.1원       역시나  설거지,,...  - dc official App
이더리움 조만간 백만원 가겠네  ㅋㅋㅋㅋ,1,졸라 빠지는군  - dc official App
와 시팔 아크로10%넘게 갈렸네,,ㅅㅂ
